age,weight,category,exercise_plan
43,46.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
30,60.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
49,92.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
69,87.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
21,113.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
40,90.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
32,101.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
53,115.7,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
24,66.7,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
39,111.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
59,105.6,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
74,52.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
45,105.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
61,76.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
79,85.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
75,54.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
42,68.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
50,65.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
44,77.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
69,71.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
20,45.5,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
25,85.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
79,61.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
68,65.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
41,115.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
71,61.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
41,97.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
66,49.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
75,117.2,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
79,97.2,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
20,67.6,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
66,119.8,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
76,90.7,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
19,75.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
40,65.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
50,92.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
79,55.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
61,78.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
23,63.2,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
21,51.1,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
73,62.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
55,72.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
69,118.8,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
39,85.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
65,104.9,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
26,69.1,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
23,97.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
20,89.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
76,61.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
43,83.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
36,71.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
24,58.1,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
50,74.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
56,115.3,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
18,95.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
74,53.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
40,85.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
59,64.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
77,58.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
65,86.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
77,64.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
18,52.0,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
29,86.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
49,92.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
26,65.9,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
36,99.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
20,109.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
71,103.5,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
41,108.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
66,57.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
55,95.2,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
79,45.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
79,115.5,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
42,45.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
63,86.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
71,78.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
78,61.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
50,46.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
31,69.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
37,72.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
25,108.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
34,68.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
65,52.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
68,92.7,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
39,63.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
55,118.4,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
68,111.9,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
44,77.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
38,82.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
45,95.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
50,59.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
78,82.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
21,46.8,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
66,48.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
61,115.5,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
46,66.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
23,72.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
58,116.5,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
46,77.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
70,87.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
77,109.0,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
78,73.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
40,65.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
20,57.7,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
42,74.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
71,97.2,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
57,50.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
67,91.1,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
39,71.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
44,67.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
43,100.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
50,55.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
71,72.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
46,67.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
43,105.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
42,90.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
77,83.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
74,92.1,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
37,93.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
63,104.7,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
29,111.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
32,73.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
19,77.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
39,69.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
75,85.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
78,107.9,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
75,47.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
69,47.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
32,72.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
77,69.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
25,102.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
61,117.4,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
56,51.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
62,59.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
47,85.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
72,55.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
33,118.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
77,98.6,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
36,104.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
36,77.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
72,63.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
43,117.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
40,77.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
29,75.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
75,113.6,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
64,63.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
79,52.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
42,94.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
70,92.9,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
78,100.3,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
22,90.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
72,48.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
43,71.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
54,54.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
46,53.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
22,52.1,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
47,109.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
69,58.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
33,52.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
65,105.5,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
53,58.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
47,93.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
75,91.2,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
22,111.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
69,73.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
75,115.0,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
49,109.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
22,96.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
33,50.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
72,115.8,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
45,88.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
44,105.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
29,74.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
77,54.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
78,85.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
54,91.9,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
18,117.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
27,60.5,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
46,50.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
48,73.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
78,52.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
52,70.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
43,68.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
43,96.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
79,106.1,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
58,82.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
75,97.3,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
62,115.2,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
73,100.1,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
38,117.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
53,58.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
26,87.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
52,119.3,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
65,54.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
66,103.2,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
41,110.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
49,109.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
66,96.0,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
40,101.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
58,73.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
66,82.9,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
65,74.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
30,112.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
66,49.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
78,112.9,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
29,71.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
45,116.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
69,88.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
64,51.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
22,67.0,Intense,"HIIT 4x/week, strength training 3x/week, cardio 5x/week"
42,86.5,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
38,101.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
40,103.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
56,51.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
59,118.1,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
31,86.2,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
22,100.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
46,71.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
35,117.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
26,102.1,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
61,110.0,Light,"Daily walking 30 mins, light yoga, water aerobics 2x/week"
55,51.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
30,61.7,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
26,106.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
75,56.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
46,51.4,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
36,88.6,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
62,72.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
69,62.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
24,119.0,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
21,71.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
77,51.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
78,73.3,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
56,76.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
43,69.8,Moderate,"Brisk walking 5x/week, resistance training 2x/week, cycling 3x/week"
